rank,score,institute_name_raw,institute_id,state,city,tlr,rpc,go,oi,perception,category,year,page_url,row_anchor,crawl_time,institute_name_norm
32,59.55,Chandigarh University,IR-O-U-0747,Punjab,Mohali,,,,,,OVERALL,2025,https://www.nirfindia.org/Rankings/2025/OverallRanking.html,,2025-09-07T06:17:31Z,CHANDIGARH UNIVERSITY
33,59.15,Post Graduate Institute of Medical Education and Research,IR-O-U-0079,Chandigarh,Chandigarh,,,,,,OVERALL,2025,https://www.nirfindia.org/Rankings/2025/OverallRanking.html,,2025-09-07T06:17:31Z,POST GRADUATE INSTITUTE OF MEDICAL EDUCATION AND RESEARCH
34,58.55,National Institute of Technology Rourkela,IR-O-U-0357,Odisha,Rourkela,,,,,,OVERALL,2025,https://www.nirfindia.org/Rankings/2025/OverallRanking.html,,2025-09-07T06:17:31Z,NIT ROURKELA
35,58.33,Indian Institute of Technology (Indian School of Mines),IR-O-U-0205,Jharkhand,Dhanbad,,,,,,OVERALL,2025,https://www.nirfindia.org/Rankings/2025/OverallRanking.html,,2025-09-07T06:17:31Z,IIT
36,57.63,Indian Institute of Technology Patna,IR-O-U-0064,Bihar,Patna,,,,,,OVERALL,2025,https://www.nirfindia.org/Rankings/2025/OverallRanking.html,,2025-09-07T06:17:31Z,IIT PATNA
37,57.49,Amity University,IR-O-U-0497,Uttar Pradesh,Gautam Budh Nagar,,,,,,OVERALL,2025,https://www.nirfindia.org/Rankings/2025/OverallRanking.html,,2025-09-07T06:17:31Z,AMITY UNIVERSITY
38,57.43,JSS Academy of Higher Education and Research,IR-O-U-0222,Karnataka,Mysuru,,,,,,OVERALL,2025,https://www.nirfindia.org/Rankings/2025/OverallRanking.html,,2025-09-07T06:17:31Z,JSS ACADEMY OF HIGHER EDUCATION AND RESEARCH
39,57.01,Indian Institute of Technology Gandhinagar,IR-O-U-0139,Gujarat,Gandhinagar,,,,,,OVERALL,2025,https://www.nirfindia.org/Rankings/2025/OverallRanking.html,,2025-09-07T06:17:31Z,IIT GANDHINAGAR
40,56.86,Symbiosis International,IR-O-U-0329,Maharashtra,Pune,,,,,,OVERALL,2025,https://www.nirfindia.org/Rankings/2025/OverallRanking.html,,2025-09-07T06:17:31Z,SYMBIOSIS INTERNATIONAL
41,56.62,"Andhra University, Visakhapatnam",IR-O-U-0006,Andhra Pradesh,Visakhapatnam,,,,,,OVERALL,2025,https://www.nirfindia.org/Rankings/2025/OverallRanking.html,,2025-09-07T06:17:31Z,ANDHRA UNIVERSITY VISAKHAPATNAM
42,56.26,Kerala University,IR-O-U-0260,Kerala,Thiruvananthapuram,,,,,,OVERALL,2025,https://www.nirfindia.org/Rankings/2025/OverallRanking.html,,2025-09-07T06:17:31Z,KERALA UNIVERSITY
43,56.23,Jawaharlal Institute of Post Graduate Medical Education & Research,IR-O-U-0368,Pondicherry,Puducherry,,,,,,OVERALL,2025,https://www.nirfindia.org/Rankings/2025/OverallRanking.html,,2025-09-07T06:17:31Z,JAWAHARLAL INSTITUTE OF POST GRADUATE MEDICAL EDUCATION & RESEARCH
44,56.21,Thapar Institute of Engineering and Technology (Deemed-to-be-university),IR-O-I-1480,Punjab,Patiala,,,,,,OVERALL,2025,https://www.nirfindia.org/Rankings/2025/OverallRanking.html,,2025-09-07T06:17:31Z,THAPAR INSTITUTE OF ENGINEERING AND TECHNOLOGY
45,56.16,National Institute of Technology Calicut,IR-O-U-0263,Kerala,Kozhikode,,,,,,OVERALL,2025,https://www.nirfindia.org/Rankings/2025/OverallRanking.html,,2025-09-07T06:17:31Z,NIT CALICUT
46,55.99,Koneru Lakshmaiah Education Foundation University (K L College of Engineering),IR-O-U-0020,Andhra Pradesh,Vaddeswaram,,,,,,OVERALL,2025,https://www.nirfindia.org/Rankings/2025/OverallRanking.html,,2025-09-07T06:17:31Z,KONERU LAKSHMAIAH EDUCATION FOUNDATION UNIVERSITY
47,55.91,Calcutta University,IR-O-U-0570,West Bengal,Kolkata,,,,,,OVERALL,2025,https://www.nirfindia.org/Rankings/2025/OverallRanking.html,,2025-09-07T06:17:31Z,CALCUTTA UNIVERSITY
